latency,bram,latency_bram_product,design_name,optimizer_name
11574,36,416664,k7mmtree_balanced__opt5,discrete_simulated_annealing
8626,44,379544,k7mmtree_balanced__opt5,discrete_simulated_annealing
8627,40,345080,k7mmtree_balanced__opt5,discrete_simulated_annealing
8259,0,0,k7mmtree_balanced__opt5,grouped_discrete_simulated_annealing
18343,48,880464,k7mmtree_unbalanced__opt5,random_search
18252,58,1058616,k7mmtree_unbalanced__opt5,random_search
15231,78,1188018,k7mmtree_unbalanced__opt5,random_search
15122,82,1240004,k7mmtree_unbalanced__opt5,random_search
15359,68,1044412,k7mmtree_unbalanced__opt5,random_search
15358,76,1167208,k7mmtree_unbalanced__opt5,random_search
18235,60,1094100,k7mmtree_unbalanced__opt5,random_search
11302,0,0,k7mmtree_unbalanced__opt5,group_random_search
8748,64,559872,k7mmtree_unbalanced__opt5,group_random_search
8748,128,1119744,k7mmtree_unbalanced__opt5,heuristic
11000,126,1386000,k7mmtree_unbalanced__opt5,heuristic
11302,0,0,k7mmtree_unbalanced__opt5,init_simulated_annealing
8748,64,559872,k7mmtree_unbalanced__opt5,init_simulated_annealing
18363,24,440712,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
11586,68,787848,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
11588,62,718456,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
11441,74,846634,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
11323,84,951132,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
11318,90,1018620,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
15122,34,514148,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
15107,36,543852,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
15047,42,631974,k7mmtree_unbalanced__opt5,discrete_simulated_annealing
11302,0,0,k7mmtree_unbalanced__opt5,grouped_discrete_simulated_annealing
8748,64,559872,k7mmtree_unbalanced__opt5,grouped_discrete_simulated_annealing
979,122,119438,mvt__opt5,random_search
666,0,0,mvt__opt5,group_random_search
666,0,0,mvt__opt5,heuristic
666,0,0,mvt__opt5,init_simulated_annealing
979,80,78320,mvt__opt5,discrete_simulated_annealing
666,0,0,mvt__opt5,grouped_discrete_simulated_annealing
